name	site_id	priority
chip_str	1	500
badwithme	1	500
at1ant	1	500
nonstopman	1	500
flint9ra	1	500
noste1s	1	500
lzwski	1	500
shashkov_stream	1	500
khabib_cham	1	500
slate993	1	500
speed4k	1	500
xomyacek	1	500
kinqie44	1	500
mama_play	1	500
sasha_ketova	1	500
godzilovich	1	500
smartmause	1	500
thatcat_	1	500
sparkitds	1	500
fastikshow_life	1	500
frut0_nyanya	1	500
ellanta	1	500
danjadad	1	500
haniiaa	1	500
itorba	1	500
masyakoba	1	500
derni_play	1	500
lazyb0nes	1	500
coolpaysh	1	500
dert1za	1	500
streamskilltv	1	500
tuf0xy	1	500
crolyana	1	500
natsu2o27	1	500
lera_x_	1	500
fobyter	1	500
az1mov13	1	500
maliceth_for_real	1	500
levkaster	1	500
zhopkashi_	1	500
alfastas	1	500
big_prime	1	500
kata_rasa	1	500
niplecs	1	500
terkaterkin	1	500
dinkzj	1	500
k1ndagod	1	500
typoslon	1	500
rox_xet	1	500
gerardthebanana	1	500
xsaves	1	500
7ckngsluggy	1	500
fruktoz1k	1	500
farmarchuk	1	500
tea4r	1	500
big_bo	1	500
skillnup	1	500
leavpentik	1	500
kiyomi5502	1	500
55x55	1	500
danuu_	1	500
sikyuzm	1	500
griffonti	1	500
selltercs	1	500
ahastasiya13	1	500
stellarisnox	1	500
bonef1re	1	500
redbear_club	1	500
kud3a	1	500
4eburashcahf	1	500
alrein_	1	500
kompanayzer	1	500
albanec69	1	500
krons_winner	1	500
fedok07	1	500
svezsh666	1	500
thetab__	1	500
life4grind	1	500
fa1len61	1	500
shellardy	1	500
gruz4ik	1	500
lposis	1	500
kingk0sha	1	500
svsergeevna	1	500
friendly_innkeeper	1	500
hitary_	1	500
konanykhin	1	500
s1mon_kl	1	500
d_bro_	1	500
mumuwr	1	500
erronsivors	1	500
p1x2l	1	500
korean_salad	1	500
dokki4	1	500
unbr0ken15	1	500
russed	1	500
ezhi4ka	1	500
nazar_recovery	1	500
chunnkz	1	500
darkn0sferatu	1	500
cinzano1	1	500
enenem	1	500
blurrkaebi	1	500
wrskyfl	1	500
wrnavighost	1	500
yung_yng	1	500
nathr6_	1	500
di_love4	1	500
server_alpha	1	500
3dmoves4u	1	500
bdidima	1	500
b7uck	1	500
kotolampa	1	500
linszyn	1	500
juziwr	1	500
valpina	1	500
blurr_r6s	1	500
evovs_	1	500
obey_morti	1	500
tojks666	1	500
mynameispapajohnny	1	500
russianpharaoh	1	500
kalaboque	1	500
kzaw228	1	500
wrgaren	1	500
favs_tech	1	500
twitchinsidebot	1	500
alyadean	1	500
